Periodos,INPC,INPC S,INPC NS,Inf
1982/01,0.085865536,0.092900756,0.066882263,4.97
1982/02,0.089239654,0.096868689,0.0687998,3.93
1982/03,0.09249895,0.101013577,0.069947384,3.65
1982/04,0.097512044,0.10683593,0.072960571,5.42
1982/05,0.102993008,0.113471372,0.075646064,5.62
1982/06,0.107954431,0.119428583,0.078185915,4.82
1982/07,0.113517202,0.125427824,0.082563155,5.15
1982/08,0.126255879,0.137414418,0.096516921,11.22
1982/09,0.1329955,0.144973814,0.101168307,5.34
1982/10,0.139890117,0.153430136,0.104297225,5.18
1982/11,0.146962697,0.16244297,0.106755589,5.06
1982/12,0.162656416,0.17466842,0.129648083,10.68
1983/01,0.180355086,0.195201638,0.140326335,10.88
1983/02,0.190033959,0.207337551,0.144134543,5.37
1983/03,0.199232046,0.217867736,0.14999688,4.84
1983/04,0.211845861,0.230276137,0.162603593,6.33
1983/05,0.221033903,0.240226457,0.169738881,4.34
1983/06,0.229403889,0.24948521,0.17580385,3.79
1983/07,0.240746133,0.264129704,0.179313658,4.94
1983/08,0.250090607,0.276612961,0.181262751,3.88
1983/09,0.257787495,0.285926477,0.185048828,3.08
1983/10,0.266341179,0.295173919,0.191728495,3.32
1983/11,0.281983237,0.312317244,0.203415009,5.87
1983/12,0.294047381,0.325911862,0.211597223,4.28
1984/01,0.312727718,0.343349891,0.232370617,6.35
1984/02,0.329232318,0.363431081,0.240232845,5.28
1984/03,0.343304281,0.378913964,0.250615513,4.27
1984/04,0.35815555,0.391804471,0.26931721,4.33
1984/05,0.370031686,0.403228381,0.281762959,3.32
1984/06,0.383423376,0.419732807,0.287673811,3.62
1984/07,0.395992706,0.434772368,0.294230427,3.28
1984/08,0.407248839,0.447044972,0.302786177,2.84
1984/09,0.419380438,0.463325558,0.305155839,2.98
1984/10,0.434033654,0.482507932,0.309102016,3.49
1984/11,0.448929413,0.498634967,0.320680078,3.43
1984/12,0.467995815,0.519677424,0.334599087,4.25
1985/01,0.502711447,0.54693919,0.384751475,7.42
1985/02,0.523596222,0.571629461,0.396319305,4.15
1985/03,0.5438854,0.597756554,0.402755302,3.87
1985/04,0.560621062,0.614614226,0.418593892,3.08
1985/05,0.573902241,0.632167385,0.421794907,2.37
1985/06,0.588275593,0.650252226,0.427301413,2.5
1985/07,0.608762824,0.673013743,0.441925116,3.48
1985/08,0.635376852,0.70355946,0.458723405,4.37
1985/09,0.660752314,0.734980673,0.469589194,3.99
1985/10,0.685852223,0.766075916,0.480299129,3.8
1985/11,0.717495125,0.802320798,0.500436273,4.61
1985/12,0.766340131,0.83813003,0.576720102,6.81
1986/01,0.834092231,0.909993014,0.632727316,8.84
1986/02,0.871174477,0.95754511,0.644937965,4.45
1986/03,0.911666717,1.008175438,0.661172551,4.65
1986/04,0.959263111,1.063467711,0.689724178,5.22
1986/05,1.012570099,1.1254966,0.721476516,5.56
1986/06,1.077566644,1.204650069,0.752277761,6.42
1986/07,1.131332893,1.2650744,0.789099546,4.99
1986/08,1.221531243,1.337382911,0.916096093,7.97
1986/09,1.294811669,1.421435787,0.962474172,6
1986/10,1.368824029,1.515087185,0.98965799,5.72
1986/11,1.461304324,1.617608638,1.056281599,6.76
1986/12,1.576734626,1.742313508,1.146481889,7.9
1987/01,1.704401293,1.886889013,1.231460387,8.1
1987/02,1.82738639,2.02925917,1.306365354,7.22
1987/03,1.948152699,2.172017742,1.373281868,6.61
1987/04,2.11860646,2.329888562,1.565633487,8.75
1987/05,2.278325059,2.498393362,1.699689915,7.54
1987/06,2.443145733,2.684684909,1.810195079,7.23
1987/07,2.641021527,2.915518511,1.926744284,8.1
1987/08,2.856871549,3.129306376,2.139188018,8.17
1987/09,3.045081395,3.362996004,2.218322571,6.59
1987/10,3.298844634,3.65762873,2.370923893,8.33
1987/11,3.560511423,3.997515044,2.447314468,7.93
1987/12,4.086392459,4.495540775,3.016155231,14.77
1988/01,4.718245936,5.089182795,3.710263361,15.46
1988/02,5.11178304,5.618016334,3.785527216,8.34
1988/03,5.373547426,5.953511832,3.87208095,5.12
1988/04,5.538940737,6.125769164,4.015924016,3.08
1988/05,5.646108688,6.244011474,4.094254284,1.93
1988/06,5.761292137,6.329859188,4.270990903,2.04
1988/07,5.857456543,6.39166934,4.44066783,1.67
1988/08,5.911343343,6.455503171,4.470218972,0.92
1988/09,5.945139022,6.470215137,4.545589816,0.57
1988/10,5.990486483,6.511381381,4.598639077,0.76
1988/11,6.070654347,6.566469831,4.732118746,1.34
1988/12,6.197316386,6.687693248,4.866279677,2.09
1989/01,6.349023793,6.900670142,4.874835122,2.45
1989/02,6.435183543,7.039663423,4.839201097,1.36
1989/03,6.504944899,7.136210189,4.846248103,1.08
1989/04,6.602224445,7.222918223,4.963637476,1.5
1989/05,6.693098769,7.298140107,5.086264421,1.38
1989/06,6.774384637,7.366201033,5.19421161,1.21
1989/07,6.842148218,7.433510382,5.260463053,1
1989/08,6.907332776,7.520435644,5.274411444,0.95
1989/09,6.973392795,7.635181347,5.228765582,0.96
1989/10,7.076525015,7.771109724,5.254472793,1.48
1989/11,7.175855437,7.891835665,5.302110487,1.4
1989/12,7.418029579,8.121921936,5.562423794,3.37
1990/01,7.776037302,8.435019171,6.007911408,4.83
1990/02,7.952119854,8.590026923,6.224720173,2.26
1990/03,8.09230992,8.721043883,6.380279869,1.76
1990/04,8.215471549,8.892265123,6.391008181,1.52
1990/05,8.358837676,9.097510944,6.390169486,1.75
1990/06,8.542938589,9.32596246,6.4678707,2.2
1990/07,8.698734834,9.512833207,6.548130692,1.82
1990/08,8.846950442,9.684587339,6.638002112,1.7
1990/09,8.973061369,9.842794286,6.6873995,1.43
1990/10,9.102059888,10.00090114,6.746281016,1.44
1990/11,9.343723103,10.21673382,7.03692242,2.66
1990/12,9.638213954,10.50748404,7.328825788,3.15
1991/01,9.883879895,10.78754063,7.488173787,2.55
1991/02,10.05642472,10.99652846,7.57252796,1.75
1991/03,10.19983964,11.16021646,7.665127483,1.43
1991/04,10.30668755,11.28235278,7.733699445,1.05
1991/05,10.40744167,11.38954185,7.81627135,0.98
1991/06,10.51664758,11.49723659,7.92480713,1.05
1991/07,10.60958427,11.5995514,7.993229813,0.88
1991/08,10.68342298,11.70555078,7.992130762,0.7
1991/09,10.78985037,11.86846293,7.967845721,1
1991/10,10.91534274,12.03239579,8.002415788,1.16
1991/11,11.1863741,12.14651427,8.615499911,2.48
1991/12,11.44967987,12.36219818,8.975880268,2.35
1992/01,11.65777847,12.59038843,9.131168042,1.82
1992/02,11.79590044,12.72886932,9.263363035,1.18
1992/03,11.91594772,12.84409048,9.389769065,1.02
1992/04,12.02217132,12.96353435,9.462365321,0.89
1992/05,12.10143789,13.12111189,9.362927679,0.66
1992/06,12.18334519,13.251586,9.332785995,0.68
1992/07,12.26027241,13.35993817,9.336324355,0.63
1992/08,12.33559223,13.4763986,9.31651061,0.61
1992/09,12.44289652,13.62694022,9.322791098,0.87
1992/10,12.53249354,13.7176754,9.406504329,0.72
1992/11,12.63662034,13.81569035,9.520483883,0.83
1992/12,12.81655348,13.95210213,9.791415369,1.42
1993/01,12.97731976,14.12747264,9.913432357,1.25
1993/02,13.08334531,14.28536332,9.899111835,0.82
1993/03,13.15959369,14.43021426,9.818572629,0.58
1993/04,13.2354804,14.52630051,9.846318691,0.58
1993/05,13.31113749,14.59082157,9.944165039,0.57
1993/06,13.38579712,14.65334083,10.04330353,0.56
1993/07,13.45012344,14.71408089,10.1132961,0.48
1993/08,13.52211219,14.80893414,10.13128158,0.54
1993/09,13.62226067,14.92661,10.18837391,0.74
1993/10,13.67797303,15.01512385,10.16839706,0.41
1993/11,13.73830236,15.06983265,10.23910483,0.44
1993/12,13.8430549,15.12623154,10.44848945,0.76
1994/01,13.95037498,15.22565783,10.56953958,0.78
1994/02,14.02212406,15.35367916,10.512321,0.51
1994/03,14.09422476,15.46654837,10.49024322,0.51
1994/04,14.1632513,15.5636944,10.49359497,0.49
1994/05,14.23168224,15.65291203,10.51282785,0.48
1994/06,14.30289457,15.73488649,10.55723918,0.5
1994/07,14.36632677,15.79002445,10.63692412,0.44
1994/08,14.43328665,15.86927757,10.67380271,0.47
1994/09,14.53593664,15.99804689,10.7140317,0.71
1994/10,14.6122453,16.07944217,10.77608595,0.52
1994/11,14.69036086,16.16266298,10.83984367,0.53
1994/12,14.81920437,16.28816451,10.97140684,0.88
1995/01,15.37699094,16.89032683,11.40884948,3.76
1995/02,16.02870735,17.66232098,11.76640981,4.24
1995/03,16.9736172,18.49777453,12.84649018,5.9
1995/04,18.32613326,19.89987335,14.01373091,7.97
1995/05,19.09209019,20.88286457,14.29654113,4.18
1995/06,19.69802427,21.59523855,14.65109661,3.17
1995/07,20.09958836,22.04632091,14.92775786,2.04
1995/08,20.43298127,22.45675615,15.08548066,1.66
1995/09,20.85564253,22.98212024,15.2760221,2.07
1995/10,21.28476212,23.38380899,15.7327858,2.06
1995/11,21.80960838,23.86040023,16.32105038,2.47
1995/12,22.52016727,24.5302403,17.06861865,3.26
1996/01,23.32975376,25.32583829,17.85483116,3.59
1996/02,23.87426203,25.92611094,18.25291116,2.33
1996/03,24.39982588,26.53114282,18.58647829,2.2
1996/04,25.09344962,27.26187295,19.16182169,2.84
1996/05,25.5508423,27.75748482,19.51370294,1.82
1996/06,25.96690173,28.23469039,19.78075178,1.63
1996/07,26.33603069,28.6589231,20.01608201,1.42
1996/08,26.68607171,29.04486266,20.27239109,1.33
1996/09,27.11275149,29.55244225,20.50992595,1.6
1996/10,27.45116754,29.88771432,20.83337848,1.25
1996/11,27.86708345,30.24775314,21.33501791,1.52
1996/12,28.75933645,30.89511058,22.66123002,3.2
1997/01,29.49888603,31.66658434,23.28949159,2.57
1997/02,29.99459809,32.21643829,23.64548545,1.68
1997/03,30.36788907,32.62906322,23.91659737,1.24
1997/04,30.69597181,33.04308358,24.05157149,1.08
1997/05,30.97611945,33.46857303,24.02269295,0.91
1997/06,31.25095691,33.82354981,24.11965427,0.89
1997/07,31.52321104,34.10108869,24.36392934,0.87
1997/08,31.8035022,34.37463304,24.64001329,0.89
1997/09,32.19961259,34.8668286,24.81882112,1.25
1997/10,32.45694082,35.18775004,24.93237156,0.8
1997/11,32.82004201,35.53675458,25.30091166,1.12
1997/12,33.27987451,35.9814979,25.76150354,1.4
1998/01,34.00392411,36.66824944,26.51466786,2.18
1998/02,34.59923784,37.37739591,26.84431456,1.75
1998/03,35.0045334,37.79303555,27.20305399,1.17
1998/04,35.33204206,38.22499716,27.30079326,0.94
1998/05,35.61348136,38.63612494,27.3043554,0.8
1998/06,36.03442041,39.09241917,27.62790594,1.18
1998/07,36.38187811,39.39366604,28.04612756,0.96
1998/08,36.7316321,39.79928228,28.26159367,0.96
1998/09,37.32737639,40.5658206,28.47759272,1.62
1998/10,37.86226893,41.1343247,28.9113618,1.43
1998/11,38.53278623,41.60478732,29.94033156,1.77
1998/12,39.47297432,42.25498013,31.40179429,2.44
1999/01,40.46977028,43.27157521,32.29608432,2.53
1999/02,41.01364281,44.06277201,32.3100012,1.34
1999/03,41.39468378,44.75777025,32.03795974,0.93
1999/04,41.77457661,45.29381746,32.08067628,0.92
1999/05,42.02587708,45.73296389,31.93977672,0.6
1999/06,42.3020062,46.08844922,32.03979967,0.66
1999/07,42.58157977,46.39267115,32.25207253,0.66
1999/08,42.82125526,46.74351643,32.25397781,0.56
1999/09,43.23501839,47.31303125,32.32945203,0.97
1999/10,43.50885123,47.65320567,32.45280289,0.63
1999/11,43.89577645,47.95593135,32.98407739,0.89
1999/12,44.33551639,48.34313257,33.50144621,1
2000/01,44.93083012,48.96916973,33.99719827,1.34
2000/02,45.32938031,49.50796824,34.08959866,0.89
2000/03,45.58068078,49.82817068,34.18691959,0.55
2000/04,45.84001827,50.08998318,34.42507496,0.57
2000/05,46.01137907,50.30909671,34.48985099,0.37
2000/06,46.28392024,50.4779762,34.95291866,0.59
2000/07,46.46446621,50.6457676,35.14737647,0.39
2000/08,46.71978519,50.85746847,35.47418714,0.55
2000/09,47.0610716,51.24920861,35.6927462,0.73
2000/10,47.38513583,51.51716252,36.10873043,0.69
2000/11,47.79028786,51.84465233,36.64403785,0.86
2000/12,48.30767118,52.1366899,37.58005416,1.08
2001/01,48.57547625,52.52422312,37.59113356,0.55
2001/02,48.54332816,52.92034684,36.70264911,-0.07
2001/03,48.85088778,53.23714275,36.97222297,0.63
