Periodos,Desempleo,Inflacion
2005/01,3.951997868,4.54
2005/02,3.773302437,4.27
2005/03,3.627075374,4.39
2005/04,3.363412283,4.6
2005/05,3.303692649,4.6
2005/06,3.482156498,4.33
2005/07,3.923362696,4.47
2005/08,3.670079746,3.95
2005/09,3.578425997,3.51
2005/10,3.385995388,3.05
2005/11,2.939815286,2.91
2005/12,2.770010587,3.33
2006/01,3.477868755,3.94
2006/02,3.745228364,3.75
2006/03,3.31182028,3.41
2006/04,3.195017931,3.2
2006/05,2.839261212,3
2006/06,3.258833383,3.18
2006/07,4.007418446,3.06
2006/08,3.872060429,3.47
2006/09,3.995795668,4.09
2006/10,3.817983552,4.29
2006/11,3.502895209,4.09
2006/12,3.316656993,4.05
2007/01,4.046749866,3.98
2007/02,4.05167076,4.11
2007/03,3.726760212,4.21
2007/04,3.513008188,3.99
2007/05,3.150856743,3.95
2007/06,3.281993334,3.98
2007/07,3.790068558,4.14
2007/08,3.831035204,4.03
2007/09,3.761695471,3.79
2007/10,3.771124689,3.74
2007/11,3.354025325,3.93
2007/12,3.106136869,3.76
2008/01,4.117061855,3.7
2008/02,3.888593281,3.72
2008/03,3.614566573,4.25
2008/04,3.479555105,4.55
2008/05,3.294914675,4.95
2008/06,3.367954605,5.26
2008/07,4.13338526,5.39
2008/08,4.056711639,5.57
2008/09,4.140897208,5.47
2008/10,4.171786149,5.78
2008/11,4.322934937,6.23
2008/12,4.024804189,6.53
2009/01,5.009041248,6.28
2009/02,5.23817316,6.2
2009/03,4.664878672,6.04
2009/04,5.055355862,6.17
2009/05,5.231713867,5.98
2009/06,4.975636511,5.74
2009/07,5.821537956,5.44
2009/08,6.145704551,5.08
2009/09,6.419811541,4.89
2009/10,5.670016683,4.5
2009/11,5.10901165,3.86
2009/12,4.729198576,3.57
2010/01,5.761042023,4.46
2010/02,5.280893908,4.83
2010/03,4.743991948,4.97
2010/04,5.347346876,4.27
2010/05,4.99547176,3.92
2010/06,4.921643056,3.69
2010/07,5.585168333,3.64
2010/08,5.415786409,3.68
2010/09,5.657598278,3.7
2010/10,5.481306084,4.02
2010/11,5.172359561,4.32
2010/12,4.936968956,4.4
2011/01,5.337010738,3.78
2011/02,5.338484345,3.57
2011/03,4.641739898,3.04
2011/04,5.130636313,3.36
2011/05,5.180763405,3.25
2011/06,5.400787046,3.28
2011/07,5.477118505,3.55
2011/08,5.705240177,3.42
2011/09,5.432388333,3.14
2011/10,4.993398941,3.2
2011/11,4.96127892,3.48
2011/12,4.506805328,3.82
2012/01,4.879743733,4.05
2012/02,5.280107813,3.87
2012/03,4.518488924,3.73
2012/04,4.857985104,3.41
2012/05,4.6736979,3.85
2012/06,4.751326013,4.34
2012/07,4.992028726,4.42
2012/08,5.327778291,4.57
2012/09,4.905204533,4.77
2012/10,5.030475983,4.6
2012/11,5.04764898,4.18
2012/12,4.395445825,3.57
2013/01,5.407878573,3.25
2013/02,4.750523054,3.55
2013/03,4.475658183,4.25
2013/04,4.961998915,4.65
2013/05,4.91098239,4.63
2013/06,4.999534974,4.09
2013/07,5.131585829,3.47
2013/08,5.183106216,3.46
2013/09,5.305092998,3.39
2013/10,5.009783726,3.36
2013/11,4.484621781,3.62
2013/12,4.266551251,3.97
2014/01,5.068519565,4.48
2014/02,4.66156322,4.23
2014/03,4.796106675,3.76
2014/04,4.85187491,3.5
2014/05,4.94215861,3.51
2014/06,4.815086206,3.75
2014/07,5.470443537,4.07
2014/08,5.18894986,4.15
2014/09,5.092203696,4.22
2014/10,4.775495604,4.3
2014/11,4.527685274,4.17
2014/12,3.757405831,4.08
2015/01,4.513125535,3.07
2015/02,4.325171574,3
2015/03,3.862976622,3.14
2015/04,4.313731127,3.06
2015/05,4.446131736,2.88
2015/06,4.405239215,2.87
2015/07,4.717360997,2.74
2015/08,4.680484762,2.59
2015/09,4.49763049,2.52
2015/10,4.551229661,2.48
2015/11,3.959558451,2.21
2015/12,3.962674741,2.13
2016/01,4.236368701,2.61
2016/02,4.14591136,2.87
2016/03,3.737723554,2.6
2016/04,3.798957663,2.54
2016/05,4.033813097,2.6
2016/06,3.930338964,2.54
2016/07,4.007087176,2.65
2016/08,4.0038332,2.73
2016/09,4.138391943,2.97
2016/10,3.670930129,3.06
2016/11,3.514867935,3.31
2016/12,3.371028601,3.36
2017/01,3.601610306,4.72
2017/02,3.343296558,4.86
2017/03,3.19286898,5.35
2017/04,3.465192936,5.82
2017/05,3.549560201,6.16
2017/06,3.286838698,6.31
2017/07,3.417978249,6.44
2017/08,3.515845551,6.66
2017/09,3.589206448,6.35
2017/10,3.508817685,6.37
2017/11,3.405901034,6.63
2017/12,3.147246642,6.77
2018/01,3.364516701,5.55
2018/02,3.173573714,5.34
2018/03,2.93721115,5.04
2018/04,3.386516109,4.55
2018/05,3.223703237,4.51
2018/06,3.373503525,4.65
2018/07,3.472050746,4.81
2018/08,3.457259924,4.9
2018/09,3.581227258,5.02
2018/10,3.265937518,4.9
2018/11,3.248480526,4.72
2018/12,3.358365518,4.83
2019/01,3.563302324,4.37
2019/02,3.293564171,3.94
2019/03,3.223913067,4
2019/04,3.498488633,4.41
2019/05,3.501956573,4.28
2019/06,3.565150477,3.95
2019/07,3.736801288,3.78
2019/08,3.706726224,3.16
2019/09,3.780858554,3
2019/10,3.691381741,3.02
2019/11,3.418222586,2.97
2019/12,2.905176686,2.83
2020/01,3.779704112,3.24
2020/02,3.530188293,3.7
2020/03,2.908968945,3.25
2020/04,4.686440676,2.15
2020/05,4.192756006,2.84
2020/06,5.492159073,3.33
2020/07,5.350869065,3.62
2020/08,5.257507367,4.05
2020/09,5.128469779,4.01
2020/10,4.708477219,4.09
