Entidad,Codigo,Año,PIB
 Aguascalientes,MX-AGU,1980,51050.023
 Aguascalientes,MX-AGU,1981,56736.416
 Aguascalientes,MX-AGU,1982,56979.213
 Aguascalientes,MX-AGU,1983,54117.817
 Aguascalientes,MX-AGU,1984,56629.523
 Aguascalientes,MX-AGU,1985,58345.34
 Aguascalientes,MX-AGU,1986,56099.612
 Aguascalientes,MX-AGU,1987,58004.39
 Aguascalientes,MX-AGU,1988,59456.243
 Aguascalientes,MX-AGU,1989,62597.432
 Aguascalientes,MX-AGU,1990,67270.804
 Aguascalientes,MX-AGU,1991,71286.017
 Aguascalientes,MX-AGU,1992,75458.502
 Aguascalientes,MX-AGU,1993,78821.334
 Aguascalientes,MX-AGU,1994,84039.101
 Aguascalientes,MX-AGU,1995,79981.875
 Aguascalientes,MX-AGU,1996,86064.115
 Aguascalientes,MX-AGU,1997,92366.44
 Aguascalientes,MX-AGU,1998,98170.594
 Aguascalientes,MX-AGU,1999,100207.735
 Aguascalientes,MX-AGU,2000,108890.9
 Aguascalientes,MX-AGU,2001,114591.238
 Aguascalientes,MX-AGU,2002,119944.925
 Aguascalientes,MX-AGU,2003,121197.634
 Aguascalientes,MX-AGU,2004,126554.147
 Aguascalientes,MX-AGU,2005,129628.028
 Aguascalientes,MX-AGU,2006,138111.823
 Aguascalientes,MX-AGU,2007,150305.117
 Aguascalientes,MX-AGU,2008,150949.983
 Aguascalientes,MX-AGU,2009,143253.947
 Aguascalientes,MX-AGU,2010,152205.212
 Aguascalientes,MX-AGU,2011,158934.494
 Aguascalientes,MX-AGU,2012,167705.967
 Aguascalientes,MX-AGU,2013,172820.491
 Aguascalientes,MX-AGU,2014,190482.862
 Aguascalientes,MX-AGU,2015,198220.641
 Aguascalientes,MX-AGU,2016,211672.469
 Aguascalientes,MX-AGU,2017,216705.56
 Aguascalientes,MX-AGU,2018,224891.592
 Aguascalientes,MX-AGU,2019,222456.2
 Aguascalientes,MX-AGU,2020,204142.637
 Baja California,MX-BCN,1980,229942.179
 Baja California,MX-BCN,1981,258615.932
 Baja California,MX-BCN,1982,256557.457
 Baja California,MX-BCN,1983,235110.403
 Baja California,MX-BCN,1984,245662.548
 Baja California,MX-BCN,1985,252321.24
 Baja California,MX-BCN,1986,233909.682
 Baja California,MX-BCN,1987,240027.262
 Baja California,MX-BCN,1988,242521.823
 Baja California,MX-BCN,1989,253361.837
 Baja California,MX-BCN,1990,270372.784
 Baja California,MX-BCN,1991,282476.133
 Baja California,MX-BCN,1992,296287.752
 Baja California,MX-BCN,1993,296855.975
 Baja California,MX-BCN,1994,318820.525
 Baja California,MX-BCN,1995,287509.774
 Baja California,MX-BCN,1996,324610.807
 Baja California,MX-BCN,1997,365666.722
 Baja California,MX-BCN,1998,381411.846
 Baja California,MX-BCN,1999,415391.383
 Baja California,MX-BCN,2000,455085.842
 Baja California,MX-BCN,2001,421171.429
 Baja California,MX-BCN,2002,403358.667
 Baja California,MX-BCN,2003,399514.624
 Baja California,MX-BCN,2004,423005.499
 Baja California,MX-BCN,2005,433008.166
 Baja California,MX-BCN,2006,456019.296
 Baja California,MX-BCN,2007,461581.274
 Baja California,MX-BCN,2008,457556.565
 Baja California,MX-BCN,2009,407745.948
 Baja California,MX-BCN,2010,428162.546
 Baja California,MX-BCN,2011,440700.662
 Baja California,MX-BCN,2012,456024.472
 Baja California,MX-BCN,2013,465524.695
 Baja California,MX-BCN,2014,478121.939
 Baja California,MX-BCN,2015,511459.528
 Baja California,MX-BCN,2016,535552.651
 Baja California,MX-BCN,2017,553327.213
 Baja California,MX-BCN,2018,566045.913
 Baja California,MX-BCN,2019,575342.251
 Baja California,MX-BCN,2020,553945.092
 Baja California Sur,MX-BCS,1980,39414.131
 Baja California Sur,MX-BCS,1981,42964.061
 Baja California Sur,MX-BCS,1982,43253.075
 Baja California Sur,MX-BCS,1983,42389.852
 Baja California Sur,MX-BCS,1984,44035.869
 Baja California Sur,MX-BCS,1985,45142.457
 Baja California Sur,MX-BCS,1986,44483.735
 Baja California Sur,MX-BCS,1987,45654.557
 Baja California Sur,MX-BCS,1988,46471.781
 Baja California Sur,MX-BCS,1989,48564.416
 Baja California Sur,MX-BCS,1990,50534.535
 Baja California Sur,MX-BCS,1991,53003.981
 Baja California Sur,MX-BCS,1992,55014.746
 Baja California Sur,MX-BCS,1993,53308.873
 Baja California Sur,MX-BCS,1994,55071.758
 Baja California Sur,MX-BCS,1995,52488.115
 Baja California Sur,MX-BCS,1996,59339.132
 Baja California Sur,MX-BCS,1997,62057.217
 Baja California Sur,MX-BCS,1998,63729.203
 Baja California Sur,MX-BCS,1999,65806.118
 Baja California Sur,MX-BCS,2000,70288.262
 Baja California Sur,MX-BCS,2001,74110.685
 Baja California Sur,MX-BCS,2002,72051.719
 Baja California Sur,MX-BCS,2003,76047.593
 Baja California Sur,MX-BCS,2004,81546.009
 Baja California Sur,MX-BCS,2005,87397.67
 Baja California Sur,MX-BCS,2006,93655.622
 Baja California Sur,MX-BCS,2007,106199.426
 Baja California Sur,MX-BCS,2008,108975.356
 Baja California Sur,MX-BCS,2009,108338.811
 Baja California Sur,MX-BCS,2010,110656.4
 Baja California Sur,MX-BCS,2011,114707.762
 Baja California Sur,MX-BCS,2012,117345.833
 Baja California Sur,MX-BCS,2013,115027.644
 Baja California Sur,MX-BCS,2014,116027.018
 Baja California Sur,MX-BCS,2015,130520.642
 Baja California Sur,MX-BCS,2016,133948.675
 Baja California Sur,MX-BCS,2017,148376.63
 Baja California Sur,MX-BCS,2018,173200.594
 Baja California Sur,MX-BCS,2019,158953.105
 Baja California Sur,MX-BCS,2020,121577.942
 Campeche,MX-CAM,1980,542396.819
 Campeche,MX-CAM,1981,595780.815
 Campeche,MX-CAM,1982,594255.25
 Campeche,MX-CAM,1983,554293.697
 Campeche,MX-CAM,1984,579164.673
 Campeche,MX-CAM,1985,601092.586
 Campeche,MX-CAM,1986,581798.267
 Campeche,MX-CAM,1987,605379.998
 Campeche,MX-CAM,1988,624535.466
 Campeche,MX-CAM,1989,653135.266
 Campeche,MX-CAM,1990,690654.731
 Campeche,MX-CAM,1991,714288.515
 Campeche,MX-CAM,1992,736338.215
 Campeche,MX-CAM,1993,730785.341
 Campeche,MX-CAM,1994,768664.4
 Campeche,MX-CAM,1995,714015.473
 Campeche,MX-CAM,1996,786152.75
 Campeche,MX-CAM,1997,831426.013
 Campeche,MX-CAM,1998,859550.754
 Campeche,MX-CAM,1999,814347.763
 Campeche,MX-CAM,2000,877296.285
 Campeche,MX-CAM,2001,943038.048
 Campeche,MX-CAM,2002,967396.155
 Campeche,MX-CAM,2003,1047511.322
 Campeche,MX-CAM,2004,1059561.025
 Campeche,MX-CAM,2005,1038533.775
 Campeche,MX-CAM,2006,1014280.35
 Campeche,MX-CAM,2007,947575.493
 Campeche,MX-CAM,2008,867231.044
 Campeche,MX-CAM,2009,780757.429
 Campeche,MX-CAM,2010,753968.591
 Campeche,MX-CAM,2011,726503.856
 Campeche,MX-CAM,2012,714787.065
 Campeche,MX-CAM,2013,721085.063
 Campeche,MX-CAM,2014,685981.27
 Campeche,MX-CAM,2015,637604.643
 Campeche,MX-CAM,2016,600612.272
 Campeche,MX-CAM,2017,537882.577
 Campeche,MX-CAM,2018,529465.695
 Campeche,MX-CAM,2019,517311.384
 Campeche,MX-CAM,2020,482973.093
 Coahuila,MX-COA,1980,219067.806
 Coahuila,MX-COA,1981,241828.319
 Coahuila,MX-COA,1982,241631.083
 Coahuila,MX-COA,1983,225983.348
 Coahuila,MX-COA,1984,235373.779
 Coahuila,MX-COA,1985,242067.927
 Coahuila,MX-COA,1986,228765.38
 Coahuila,MX-COA,1987,234191.431
 Coahuila,MX-COA,1988,236249.033
 Coahuila,MX-COA,1989,243838.215
 Coahuila,MX-COA,1990,257556.576
 Coahuila,MX-COA,1991,266441.675
 Coahuila,MX-COA,1992,279929.15
 Coahuila,MX-COA,1993,286710.092
 Coahuila,MX-COA,1994,294702.735
 Coahuila,MX-COA,1995,284769.974
 Coahuila,MX-COA,1996,330610.496
 Coahuila,MX-COA,1997,360438.497
 Coahuila,MX-COA,1998,378684.481
 Coahuila,MX-COA,1999,388356.652
 Coahuila,MX-COA,2000,397554.62
 Coahuila,MX-COA,2001,396830.364
 Coahuila,MX-COA,2002,417873.637
 Coahuila,MX-COA,2003,436573.518
 Coahuila,MX-COA,2004,449143.882
 Coahuila,MX-COA,2005,458867.907
 Coahuila,MX-COA,2006,480488.194
 Coahuila,MX-COA,2007,500478.657
 Coahuila,MX-COA,2008,498326.775
 Coahuila,MX-COA,2009,421327.489
 Coahuila,MX-COA,2010,489951.776
 Coahuila,MX-COA,2011,523207.112
 Coahuila,MX-COA,2012,549551.802
 Coahuila,MX-COA,2013,538206.987
 Coahuila,MX-COA,2014,559217.153
 Coahuila,MX-COA,2015,563928.44
 Coahuila,MX-COA,2016,572243.615
 Coahuila,MX-COA,2017,601722.052
 Coahuila,MX-COA,2018,608138.802
 Coahuila,MX-COA,2019,603930.571
 Coahuila,MX-COA,2020,535373.609
 Colima,MX-COL,1980,40469.62
 Colima,MX-COL,1981,43797.41
 Colima,MX-COL,1982,44229.693
 Colima,MX-COL,1983,43266.894
 Colima,MX-COL,1984,44839.682
 Colima,MX-COL,1985,46094.437
 Colima,MX-COL,1986,45445.723
 Colima,MX-COL,1987,46659.728
 Colima,MX-COL,1988,47505.788
 Colima,MX-COL,1989,48974.873
 Colima,MX-COL,1990,51046.342
 Colima,MX-COL,1991,52570.582
 Colima,MX-COL,1992,53794.816
 Colima,MX-COL,1993,54992.859
 Colima,MX-COL,1994,57637.295
 Colima,MX-COL,1995,54388.113
 Colima,MX-COL,1996,58769.069
 Colima,MX-COL,1997,61382.29
 Colima,MX-COL,1998,65627.486
 Colima,MX-COL,1999,67779.863
 Colima,MX-COL,2000,70350.253
 Colima,MX-COL,2001,68942.619
 Colima,MX-COL,2002,69517.793
 Colima,MX-COL,2003,67732.93
 Colima,MX-COL,2004,67794.051
 Colima,MX-COL,2005,68258.171
 Colima,MX-COL,2006,72533.785
 Colima,MX-COL,2007,77526.37
 Colima,MX-COL,2008,78953.717
 Colima,MX-COL,2009,76446.9
 Colima,MX-COL,2010,81992.178
 Colima,MX-COL,2011,87944.969
 Colima,MX-COL,2012,90540.289
 Colima,MX-COL,2013,91422.446
 Colima,MX-COL,2014,93703.258
 Colima,MX-COL,2015,95878.066
 Colima,MX-COL,2016,98576.211
 Colima,MX-COL,2017,102039.429
 Colima,MX-COL,2018,105031.03
 Colima,MX-COL,2019,109109.572
 Colima,MX-COL,2020,101068.064
 Chiapas,MX-CHP,1980,158583.479
 Chiapas,MX-CHP,1981,168173.703
 Chiapas,MX-CHP,1982,169465.737
 Chiapas,MX-CHP,1983,167419.892
 Chiapas,MX-CHP,1984,172198.568
 Chiapas,MX-CHP,1985,175893.777
 Chiapas,MX-CHP,1986,175120.902
 Chiapas,MX-CHP,1987,179222.293
 Chiapas,MX-CHP,1988,182733.634
 Chiapas,MX-CHP,1989,188302.393
 Chiapas,MX-CHP,1990,195398.298
 Chiapas,MX-CHP,1991,201552.118
 Chiapas,MX-CHP,1992,208280.725
 Chiapas,MX-CHP,1993,215671.848
 Chiapas,MX-CHP,1994,225182.024
 Chiapas,MX-CHP,1995,222272.256
 Chiapas,MX-CHP,1996,222047.875
 Chiapas,MX-CHP,1997,228803.301
 Chiapas,MX-CHP,1998,241046.14
