Periodos,PIB,PIB VA,PIB VT
1981/01,8155985.579,9.067070567,3.06467419
1981/02,8377923.269,11.68851482,2.721163357
1981/03,8423516.201,9.713963547,0.544203253
1981/04,8519345.711,7.656344118,1.137642627
1982/01,8433913.161,3.407651712,-1.002806479
1982/02,8443660.915,0.784653228,0.115578072
1982/03,8400412.374,-0.274277702,-0.512201301
1982/04,8203897.917,-3.702723245,-2.339342971
1983/01,8069525.403,-4.320506395,-1.637910608
1983/02,7925776.482,-6.133411064,-1.781380117
1983/03,7957273.354,-5.275205554,0.397397929
1983/04,8061813.526,-1.731913208,1.313768769
1984/01,8289025.738,2.720114558,2.818375937
1984/02,8184666.402,3.266429734,-1.259006063
1984/03,8334978.331,4.746663336,1.836506478
1984/04,8320319.873,3.206553291,-0.175866776
1985/01,8451101.332,1.955303299,1.571832109
1985/02,8406389.386,2.709004533,-0.529066506
1985/03,8447493.799,1.34991915,0.488966328
1985/04,8432879.761,1.352831262,-0.172998504
1986/01,8267713.455,-2.169987911,-1.958599091
1986/02,8172223.338,-2.785572226,-1.154976133
1986/03,8048584.939,-4.722215486,-1.512910182
1986/04,7999553.565,-5.13853166,-0.609192477
1987/01,8078073.434,-2.293742062,0.981553137
1987/02,8295852.573,1.512798045,2.69592918
1987/03,8359300.21,3.860495647,0.764811533
1987/04,8434074.462,5.431814331,0.894503725
1988/01,8377983.626,3.712645036,-0.665050277
1988/02,8354353.169,0.705178835,-0.282054227
1988/03,8365595.477,0.075308541,0.134568261
1988/04,8493243.565,0.701548268,1.525869717
1989/01,8650789.384,3.256222143,1.854954681
1989/02,8639648.399,3.414929005,-0.128785766
1989/03,8804456.374,5.24602102,1.907577344
1989/04,8718537.61,2.652626685,-0.975855411
1990/01,8932267.267,3.253782635,2.451439291
1990/02,9109691.955,5.440540343,1.986334301
1990/03,9245263.66,5.006638312,1.488213932
1990/04,9339919.466,7.127133969,1.023830246
1991/01,9380525.449,5.018414352,0.434757319
1991/02,9483446.214,4.102819952,1.09717484
1991/03,9535570.042,3.140055193,0.549629599
1991/04,9700045.938,3.855777056,1.724866947
1992/01,9694646.421,3.348650066,-0.055664857
1992/02,9829920.73,3.653466348,1.395350626
1992/03,9965867.912,4.512555289,1.382993672
1992/04,9966118.86,2.743006825,0.002518071
1993/01,10066787.06,3.801725981,0.974215282
1993/02,10093479.77,2.669747535,0.265156295
1993/03,10195696.76,2.362288538,1.012703136
1993/04,10329417.48,3.641079374,1.311540775
1994/01,10436874.51,3.676321524,1.040300998
1994/02,10656483.92,5.577899409,2.104168338
1994/03,10737542.32,5.314453429,0.76064858
1994/04,10861387.82,5.150051639,1.153387756
1995/01,10238390.03,-1.901761721,-5.73589486
1995/02,9737224.153,-8.626295293,-4.894967629
1995/03,9921091.133,-7.603706329,1.888289487
1995/04,10110505.61,-6.913317336,1.909210124
1996/01,10383696.93,1.419235855,2.702054024
1996/02,10519728.99,8.03622082,1.31005417
1996/03,10696639.95,7.817172645,1.681706512
1996/04,11019293.93,8.988554636,3.016404929
1997/01,11039399.91,6.314735303,0.182461591
1997/02,11292729.75,7.348105341,2.29477914
1997/03,11507357.12,7.579175993,1.900580037
1997/04,11792634.06,7.018055159,2.479082994
1998/01,11901675.28,7.810889924,0.924655404
1998/02,11986746.72,6.145697089,0.71478538
1998/03,12048682.17,4.704164834,0.516699419
1998/04,12064864.54,2.30847899,0.134308182
1999/01,12187247.8,2.399431291,1.014377485
1999/02,12259177.07,2.272763077,0.590201075
1999/03,12378824.98,2.740074039,0.975986467
1999/04,12492530.44,3.544721989,0.918548086
2000/01,12727264.37,4.430996804,1.878994213
2000/02,12919473.99,5.386143887,1.51021946
2000/03,13051243.34,5.432004753,1.019928166
2000/04,12938468.36,3.569636419,-0.864093804
2001/01,12942559.27,1.691603952,0.03161823
2001/02,12872628.41,-0.362596613,-0.540317084
2001/03,12900792.35,-1.152771346,0.218789317
2001/04,12818658.88,-0.9259943,-0.636654469
2002/01,12732258.93,-1.624874501,-0.674017088
2002/02,12849017.87,-0.183416615,0.91703246
2002/03,12949163.12,0.374944165,0.779399984
2002/04,12979617.04,1.255655236,0.23518062
2003/01,13010776.33,2.187494042,0.240063267
2003/02,13040552.75,1.490657683,0.228859625
